Temp (°C),Dew Point Temp (°C),Rel Hum (%),Precip. Amount (mm),Wind Spd (km/h),Stn Press (kPa),Visibility (km),Weather
-6.2,-13.2,58.0,0.0,43.0,100.68,16.1,0
-6.0,-13.7,55.0,0.0,41.0,100.59,16.1,0
-6.2,-13.3,57.0,0.0,45.0,100.56,16.1,0
-6.0,-12.0,63.0,0.0,32.0,100.58,16.1,0
-6.0,-12.2,62.0,0.0,35.0,100.5,16.1,0
-5.5,-10.9,66.0,0.0,43.0,100.44,16.1,0
-5.0,-10.4,66.0,0.0,54.0,100.43,16.1,0
-4.9,-10.0,68.0,0.0,46.0,100.44,16.1,0
-4.8,-10.4,65.0,0.0,52.0,100.37,16.1,0
-4.5,-9.8,67.0,0.0,45.0,100.38,16.1,0
-4.2,-9.7,66.0,0.0,48.0,100.33,16.1,0
-3.6,-10.0,61.0,0.0,45.0,100.22,16.1,0
-3.0,-9.6,61.0,0.0,46.0,100.12,16.1,0
-3.0,-10.1,58.0,0.0,34.0,100.03,16.1,0
-2.6,-9.7,58.0,0.0,37.0,100.02,16.1,0
-2.5,-9.8,58.0,0.0,45.0,100.06,16.1,0
-2.6,-10.2,56.0,0.0,39.0,100.09,16.1,0
-2.3,-10.1,55.0,0.0,34.0,100.16,16.1,0
-1.8,-9.4,56.0,0.0,37.0,100.16,16.1,0
-1.4,-8.8,57.0,0.0,41.0,100.22,16.1,0
-1.2,-9.3,54.0,0.0,43.0,100.29,16.1,0
-0.9,-8.3,57.0,0.0,41.0,100.36,16.1,0
-0.7,-7.6,60.0,0.0,43.0,100.39,16.1,1
-0.6,-6.4,65.0,0.0,41.0,100.46,16.1,0
-0.6,-6.1,67.0,0.0,39.0,100.49,16.1,1
-0.6,-5.3,71.0,0.0,45.0,100.53,16.1,1
-1.8,-3.7,87.0,0.0,28.0,100.63,6.4,1
-1.2,-4.0,81.0,0.0,34.0,100.71,16.1,0
-1.1,-5.8,71.0,0.0,24.0,100.77,16.1,0
-2.1,-8.1,64.0,0.0,28.0,100.86,16.1,0
-2.4,-8.0,66.0,0.0,17.0,100.95,16.1,0
-2.5,-8.4,64.0,0.0,17.0,101.11,16.1,1
-2.6,-8.1,66.0,0.0,18.0,101.21,16.1,0
-3.0,-8.8,65.0,0.0,22.0,101.34,16.1,0
-2.2,-8.7,61.0,0.0,24.0,101.4,16.1,0
-1.6,-9.5,55.0,0.0,28.0,101.45,16.1,0
-1.9,-11.2,49.0,0.0,39.0,101.43,16.1,0
-1.0,-11.2,46.0,0.0,30.0,101.45,16.1,0
-0.2,-11.3,43.0,0.0,28.0,101.5,16.1,0
-0.5,-11.0,45.0,0.0,30.0,101.54,16.1,0
-0.9,-10.7,48.0,0.0,26.0,101.61,16.1,0
-1.7,-10.8,50.0,0.0,26.0,101.74,16.1,0
-2.5,-10.4,55.0,0.0,21.0,101.81,16.1,0
-2.7,-10.8,54.0,0.0,11.0,101.87,16.1,0
-3.3,-10.7,57.0,0.0,13.0,101.98,16.1,0
-3.0,-10.5,57.0,0.0,11.0,102.02,16.1,0
-3.0,-10.6,56.0,0.0,5.0,102.03,16.1,0
-4.2,-10.3,63.0,0.0,4.0,102.13,16.1,0
-4.2,-7.3,79.0,0.0,15.0,102.11,16.1,0
-3.6,-6.9,78.0,0.0,18.0,102.08,16.1,0
-3.3,-5.5,85.0,0.0,17.0,102.09,16.1,0
-1.4,-4.8,78.0,0.0,21.0,102.07,16.1,0
-1.1,-4.1,80.0,0.0,26.0,102.04,16.1,0
-1.3,-5.4,74.0,0.0,18.0,101.99,16.1,0
-0.8,-5.5,71.0,0.0,21.0,101.86,16.1,0
-0.6,-4.3,76.0,0.0,28.0,101.8,16.1,0
-0.5,-3.7,79.0,0.0,22.0,101.76,16.1,0
-0.3,-3.5,79.0,0.0,28.0,101.74,16.1,0
0.3,-3.4,76.0,0.0,28.0,101.69,16.1,0
0.8,-3.5,73.0,0.0,32.0,101.61,16.1,0
0.8,-3.9,71.0,0.0,28.0,101.41,16.1,0
