Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-79.4,43.63,TORONTO CITY CENTRE,6158359,2019/1/1 0:00,2019,1,1,0:00,4.3,,4,,98,,0.5,,8,,11,,4.8,,98.49,,,,,,"Rain,Fog"
-79.4,43.63,TORONTO CITY CENTRE,6158359,2019/1/1 1:00,2019,1,1,1:00,5.1,,5,,99,,1,,,M,4,,16.1,,98.47,,,,,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2019/1/1 2:00,2019,1,1,2:00,5.9,,5.6,,98,,0.2,,31,,28,,4,,98.57,,,,,,"Rain,Fog"
-79.4,43.63,TORONTO CITY CENTRE,6158359,2019/1/1 3:00,2019,1,1,3:00,3.3,,2.6,,95,,0.2,,30,,34,,16.1,,98.98,,,,,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2019/1/1 4:00,2019,1,1,4:00,2.8,,1.2,,89,,0,,30,,28,,16.1,,99.29,,,,,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2019/1/1 5:00,2019,1,1,5:00,3.2,,0.6,,83,,0,,29,,24,,16.1,,99.66,,,,,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2019/1/1 6:00,2019,1,1,6:00,2.7,,-0.2,,81,,0,,32,,30,,16.1,,99.94,,,,,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2019/1/1 7:00,2019,1,1,7:00,2.3,,-1,,79,,0,,31,,24,,16.1,,100.21,,,,,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2019/1/1 8:00,2019,1,1,8:00,1.9,,-1.7,,77,,0,,31,,15,,16.1,,100.52,,,,,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2019/1/1 9:00,2019,1,1,9:00,1.5,,-2.5,,75,,0,,30,,26,,16.1,,100.77,,,,,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2019/1/1 10:00,2019,1,1,10:00,1,,-3,,75,,0,,33,,22,,16.1,,100.85,,,,,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2019/1/1 11:00,2019,1,1,11:00,-0.1,,-4.4,,73,,0,,31,,24,,16.1,,100.97,,,,-6,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2019/1/1 12:00,2019,1,1,12:00,-0.1,,-4.4,,73,,0,,30,,26,,16.1,,100.99,,,,-6,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2019/1/1 13:00,2019,1,1,13:00,-0.6,,-5.1,,72,,0,,32,,18,,16.1,,101.14,,,,-6,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2019/1/1 14:00,2019,1,1,14:00,-0.5,,-5.6,,69,,0,,33,,18,,16.1,,101.17,,,,-6,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2019/1/1 15:00,2019,1,1,15:00,-0.9,,-6.2,,67,,0,,33,,17,,16.1,,101.29,,,,-6,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2019/1/1 16:00,2019,1,1,16:00,-2,,-7.3,,67,,0,,33,,15,,16.1,,101.37,,,,-7,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2019/1/1 17:00,2019,1,1,17:00,-3.2,,-7.9,,70,,0,,32,,21,,16.1,,101.48,,,,-9,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2019/1/1 18:00,2019,1,1,18:00,-4.2,,-8.3,,73,,0,,34,,13,,16.1,,101.55,,,,-9,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2019/1/1 19:00,2019,1,1,19:00,-5.1,,-10.3,,67,,0,,33,,11,,16.1,,101.63,,,,-10,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2019/1/1 20:00,2019,1,1,20:00,-5.6,,-10.2,,70,,0,,33,,11,,16.1,,101.66,,,,-10,,NA
